,Sample,Allele_frequency,Super_population,Group
326,HG01134,0.042986,AMR,High
327,HG01136,0.079186,AMR,High
328,HG01137,0.033937,AMR,High
329,HG01140,0.033183,AMR,High
330,HG01148,0.065611,AMR,High
331,HG01149,0.046757,AMR,High
332,HG01167,0.056561,AMR,High
333,HG01168,0.066365,AMR,High
334,HG01170,0.052036,AMR,High
335,HG01171,0.074661,AMR,High
336,HG01173,0.051282,AMR,High
337,HG01174,0.067119,AMR,High
338,HG01176,0.099548,AMR,High
339,HG01183,0.043741,AMR,High
340,HG01187,0.024887,AMR,High
341,HG01188,0.073152,AMR,High
342,HG01190,0.062594,AMR,High
343,HG01191,0.025641,AMR,High
344,HG01197,0.084465,AMR,High
345,HG01198,0.091252,AMR,High
346,HG01204,0.084465,AMR,High
347,HG01250,0.096531,AMR,High
348,HG01251,0.042232,AMR,High
349,HG01257,0.078431,AMR,High
350,HG01259,0.102564,AMR,High
351,HG01271,0.084465,AMR,High
352,HG01272,0.015837,AMR,High
353,HG01274,0.107089,AMR,High
354,HG01275,0.119910,AMR,High
355,HG01277,0.068627,AMR,High
